,id,inning1_runs,inning1_wickets,inning1_balls,inning2_runs,inning2_wickets,inning2_balls,season,city,venue,toss_winner,toss_decision,team1,team2,winner,result,umpire1,umpire2,player_of_match
65,392189,189,5,121,180,9,125,2009,Durban,Kingsmead,Delhi,bat,Chennai,Delhi,Delhi,runs,BR Doctrove,SJA Taufel,AB de Villiers
66,392190,150,6,126,150,8,130,2009,Cape Town,Newlands,Kolkata,field,Kolkata,Rajasthan,Rajasthan,tie,MR Benson,M Erasmus,YK Pathan
67,392191,168,9,123,173,3,119,2009,Durban,Kingsmead,Bangalore,bat,Bangalore,Punjab,Punjab,wickets,BR Doctrove,TH Wijewardene,RS Bopara
68,392192,168,9,125,156,7,127,2009,Durban,Kingsmead,Hyderabad,bat,Hyderabad,Mumbai,Hyderabad,runs,HDPK Dharmasena,SJA Taufel,PP Ojha
69,392194,149,7,126,150,4,120,2009,Port Elizabeth,St George's Park,Bangalore,bat,Bangalore,Delhi,Delhi,wickets,S Asnani,BG Jerling,TM Dilshan
70,392195,139,6,128,112,7,125,2009,Cape Town,Newlands,Punjab,bat,Punjab,Rajasthan,Punjab,runs,M Erasmus,K Hariharan,KC Sangakkara
71,392196,165,6,127,169,4,121,2009,Durban,Kingsmead,Hyderabad,field,Chennai,Hyderabad,Hyderabad,wickets,IL Howell,TH Wijewardene,HH Gibbs
72,392197,187,6,124,95,9,95,2009,Port Elizabeth,St George's Park,Mumbai,bat,Kolkata,Mumbai,Mumbai,runs,BG Jerling,RB Tiffin,SR Tendulkar
73,392198,143,7,122,147,5,118,2009,Centurion,SuperSport Park,Delhi,bat,Delhi,Rajasthan,Rajasthan,wickets,GAV Baxter,RE Koertzen,YK Pathan
74,392199,139,6,123,143,5,125,2009,Durban,Kingsmead,Kolkata,bat,Bangalore,Kolkata,Bangalore,wickets,MR Benson,TH Wijewardene,MV Boucher
75,392200,119,8,126,116,7,128,2009,Durban,Kingsmead,Punjab,bat,Punjab,Mumbai,Punjab,runs,MR Benson,SL Shastri,KC Sangakkara
76,392201,148,9,123,150,4,120,2009,Centurion,SuperSport Park,Delhi,field,Hyderabad,Delhi,Delhi,wickets,GAV Baxter,AM Saheba,DP Nannes
77,392202,164,5,123,126,9,120,2009,Centurion,SuperSport Park,Rajasthan,field,Chennai,Rajasthan,Chennai,runs,GAV Baxter,RE Koertzen,SK Raina
