id,inning1_runs,inning1_wickets,inning1_balls,inning2_runs,inning2_wickets,inning2_balls,season,city,venue,toss_winner,toss_decision,winner,result,result_margin,player_of_match,team1,team2,batting_team,bowling_team
336016,143,8,124,144,1,97,2008,Chandigarh,Punjab Cricket Association Stadium,Bangalore,bat,Punjab,wickets,9.0,SE Marsh,Punjab,Bangalore,Bangalore,Punjab
336017,133,6,128,110,10,110,2008,Kolkata,Eden Gardens,Kolkata,bat,Kolkata,runs,23.0,Shoaib Akhtar,Kolkata,Delhi,Kolkata,Delhi
336018,156,6,127,158,1,94,2008,Mumbai,Wankhede Stadium,Mumbai,field,Mumbai,wickets,9.0,ST Jayasuriya,Mumbai,Chennai,Chennai,Mumbai
336019,221,3,124,180,7,121,2008,Chandigarh,Punjab Cricket Association Stadium,Rajasthan,field,Punjab,runs,41.0,SE Marsh,Punjab,Rajasthan,Punjab,Rajasthan
336020,194,4,125,182,9,122,2008,Delhi,Feroz Shah Kotla,Hyderabad,field,Delhi,runs,12.0,A Mishra,Delhi,Hyderabad,Delhi,Hyderabad
336021,67,10,98,68,2,38,2008,Mumbai,Wankhede Stadium,Mumbai,field,Mumbai,wickets,8.0,SM Pollock,Mumbai,Kolkata,Kolkata,Mumbai
336022,118,4,73,94,3,50,2008,Delhi,Feroz Shah Kotla,Delhi,bat,Punjab,runs,6.0,DPMD Jayawardene,Delhi,Punjab,Delhi,Punjab
336023,197,1,127,132,9,125,2008,Jaipur,Sawai Mansingh Stadium,Bangalore,field,Rajasthan,runs,65.0,GC Smith,Rajasthan,Bangalore,Rajasthan,Bangalore
336024,178,7,128,153,7,124,2008,Hyderabad,Rajiv Gandhi International Stadium,Hyderabad,field,Mumbai,runs,25.0,DJ Bravo,Hyderabad,Mumbai,Mumbai,Hyderabad
336025,149,5,124,55,0,51,2008,Kolkata,Eden Gardens,Kolkata,bat,Chennai,runs,3.0,M Ntini,Kolkata,Chennai,Kolkata,Chennai
336026,154,7,125,158,5,111,2008,Bangalore,M Chinnaswamy Stadium,Delhi,field,Delhi,wickets,5.0,SP Goswami,Bangalore,Delhi,Bangalore,Delhi
336027,147,8,122,150,4,102,2008,Kolkata,Eden Gardens,Rajasthan,field,Rajasthan,wickets,6.0,YK Pathan,Kolkata,Rajasthan,Kolkata,Rajasthan
336028,189,4,124,188,10,125,2008,Mumbai,Wankhede Stadium,Mumbai,field,Punjab,runs,1.0,SE Marsh,Mumbai,Punjab,Punjab,Mumbai
336029,126,8,121,112,8,126,2008,Chennai,MA Chidambaram Stadium,Bangalore,bat,Bangalore,runs,14.0,A Kumble,Chennai,Bangalore,Bangalore,Chennai
336031,175,4,121,178,4,122,2008,Chandigarh,Punjab Cricket Association Stadium,Punjab,field,Punjab,wickets,6.0,SE Marsh,Punjab,Hyderabad,Hyderabad,Punjab
336032,176,8,127,179,5,120,2008,Delhi,Feroz Shah Kotla,Delhi,field,Delhi,wickets,5.0,KD Karthik,Delhi,Mumbai,Mumbai,Delhi
336033,211,5,122,201,7,126,2008,Chennai,MA Chidambaram Stadium,Rajasthan,bat,Rajasthan,runs,10.0,JA Morkel,Chennai,Rajasthan,Rajasthan,Chennai
336034,156,8,122,153,6,122,2008,Bangalore,M Chinnaswamy Stadium,Hyderabad,field,Bangalore,runs,3.0,P Kumar,Bangalore,Hyderabad,Bangalore,Hyderabad
336035,174,6,126,175,7,122,2008,Kolkata,Eden Gardens,Punjab,bat,Kolkata,wickets,3.0,Umar Gul,Kolkata,Punjab,Punjab,Kolkata
336036,145,7,127,146,5,126,2008,Jaipur,Sawai Mansingh Stadium,Rajasthan,field,Rajasthan,wickets,5.0,Sohail Tanvir,Rajasthan,Mumbai,Mumbai,Rajasthan
336037,147,8,126,148,3,124,2008,Hyderabad,Rajiv Gandhi International Stadium,Hyderabad,bat,Chennai,wickets,7.0,SK Raina,Hyderabad,Chennai,Hyderabad,Chennai
