winner,team1,team2,city,venue
Bangalore,Bangalore,Hyderabad,Centurion,SuperSport Park
Kolkata,Bangalore,Kolkata,Bangalore,M Chinnaswamy Stadium
Bangalore,Bangalore,Lucknow,Kolkata,Eden Gardens
Rajasthan,Chennai,Rajasthan,Mumbai,"Brabourne Stadium, Mumbai"
Hyderabad,Pune,Hyderabad,Visakhapatnam,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
Hyderabad,Punjab,Hyderabad,Chennai,MA Chidambaram Stadium
Delhi,Hyderabad,Delhi,Hyderabad,Rajiv Gandhi International Stadium
Hyderabad,Mumbai,Hyderabad,Hyderabad,Rajiv Gandhi International Stadium
Delhi,Hyderabad,Delhi,Centurion,SuperSport Park
Mumbai,Hyderabad,Mumbai,Hyderabad,Rajiv Gandhi International Stadium
Punjab,Hyderabad,Punjab,Hyderabad,Rajiv Gandhi International Stadium
Mumbai,Mumbai,Delhi,Mumbai,Wankhede Stadium
Bangalore,Mumbai,Bangalore,Mumbai,Brabourne Stadium
Punjab,Punjab,Mumbai,Mumbai,Wankhede Stadium
Bangalore,Bangalore,Delhi,Bengaluru,M Chinnaswamy Stadium
Kolkata,Kolkata,Mumbai,Mumbai,Wankhede Stadium
Bangalore,Mumbai,Bangalore,Pune,Maharashtra Cricket Association Stadium
Delhi,Delhi,Mumbai,Delhi,Feroz Shah Kotla
Kolkata,Hyderabad,Kolkata,Cuttack,Barabati Stadium
Punjab,Mumbai,Punjab,Chennai,MA Chidambaram Stadium
Delhi,Mumbai,Delhi,Sharjah,Sharjah Cricket Stadium
Kolkata,Delhi,Kolkata,Delhi,Feroz Shah Kotla
Delhi,Chennai,Delhi,Durban,Kingsmead
Bangalore,Mumbai,Bangalore,Pune,Maharashtra Cricket Association Stadium
Delhi,Delhi,Bangalore,Delhi,Feroz Shah Kotla
Delhi,Delhi,Chennai,UAE,Dubai International Cricket Stadium
Punjab,Bangalore,Punjab,Mumbai,Dr DY Patil Sports Academy
Kolkata,Kolkata,Chennai,Chennai,MA Chidambaram Stadium
Chennai,Chennai,Mumbai,UAE,Dubai International Cricket Stadium
Lucknow,Delhi,Lucknow,Mumbai,Dr DY Patil Sports Academy
Punjab,Kerala,Punjab,Indore,Holkar Cricket Stadium
Hyderabad,Rajasthan,Hyderabad,Jaipur,Sawai Mansingh Stadium
Rajasthan,Rajasthan,Chennai,Chennai,MA Chidambaram Stadium
Punjab,Punjab,Hyderabad,Chandigarh,"Punjab Cricket Association Stadium, Mohali"
Rajasthan,Rajasthan,Punjab,Jaipur,Sawai Mansingh Stadium
Chennai,Chennai,Punjab,Durban,Kingsmead
Punjab,Punjab,Chennai,Chandigarh,"Punjab Cricket Association Stadium, Mohali"
Bangalore,Delhi,Bangalore,UAE,Sharjah Cricket Stadium
Hyderabad,Gujarat,Hyderabad,Rajkot,Saurashtra Cricket Association Stadium
Kolkata,Kolkata,Rajasthan,Kolkata,Eden Gardens
Kolkata,Kolkata,Delhi,Visakhapatnam,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
Punjab,Bangalore,Punjab,Bangalore,M Chinnaswamy Stadium
Pune,Pune,Kerala,Mumbai,Dr DY Patil Sports Academy
Bangalore,Mumbai,Bangalore,Pune,Maharashtra Cricket Association Stadium
Rajasthan,Rajasthan,Chennai,Jaipur,Sawai Mansingh Stadium
Kolkata,Hyderabad,Kolkata,Cuttack,Barabati Stadium
Hyderabad,Hyderabad,Mumbai,Mumbai,Wankhede Stadium
Bangalore,Rajasthan,Bangalore,Jaipur,Sawai Mansingh Stadium
Kolkata,Kolkata,Hyderabad,Pune,Maharashtra Cricket Association Stadium
Delhi,Lucknow,Delhi,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
Rajasthan,Rajasthan,Bangalore,Jaipur,Sawai Mansingh Stadium
Hyderabad,Hyderabad,Punjab,Hyderabad,Rajiv Gandhi International Stadium
Punjab,Hyderabad,Punjab,Johannesburg,New Wanderers Stadium
Gujarat,Kolkata,Gujarat,Kolkata,Eden Gardens
Pune,Chennai,Pune,Chennai,MA Chidambaram Stadium
Bangalore,Hyderabad,Bangalore,Bengaluru,M.Chinnaswamy Stadium
Pune,Hyderabad,Pune,Hyderabad,Rajiv Gandhi International Stadium
Rajasthan,Kolkata,Rajasthan,Kolkata,Eden Gardens
Delhi,Delhi,Punjab,Delhi,Feroz Shah Kotla
Bangalore,Delhi,Bangalore,UAE,Sharjah Cricket Stadium
Gujarat,Gujarat,Lucknow,Pune,Maharashtra Cricket Association Stadium
Gujarat,Gujarat,Delhi,Pune,Maharashtra Cricket Association Stadium
Rajasthan,Mumbai,Rajasthan,Abu Dhabi,Sheikh Zayed Stadium
Pune,Pune,Gujarat,Pune,Maharashtra Cricket Association Stadium
Kolkata,Kolkata,Bangalore,Kolkata,Eden Gardens
Punjab,Punjab,Bangalore,Mumbai,"Brabourne Stadium, Mumbai"
Gujarat,Gujarat,Kolkata,Navi Mumbai,Dr DY Patil Sports Academy
Mumbai,Mumbai,Pune,Hyderabad,Rajiv Gandhi International Stadium
Pune,Pune,Punjab,Pune,Maharashtra Cricket Association Stadium
Chennai,Kolkata,Chennai,Kolkata,Eden Gardens
Hyderabad,Punjab,Hyderabad,Mumbai,Dr DY Patil Sports Academy
Kolkata,Kolkata,Bangalore,Ranchi,JSCA International Stadium Complex
Rajasthan,Rajasthan,Delhi,Mumbai,Brabourne Stadium
Mumbai,Mumbai,Bangalore,Mumbai,Wankhede Stadium
Delhi,Kolkata,Delhi,Kolkata,Eden Gardens
Kolkata,Kolkata,Hyderabad,Chennai,MA Chidambaram Stadium
Mumbai,Punjab,Mumbai,Chandigarh,"Punjab Cricket Association Stadium, Mohali"
Rajasthan,Rajasthan,Lucknow,Mumbai,Wankhede Stadium
Mumbai,Mumbai,Chennai,Kolkata,Eden Gardens
Mumbai,Pune,Mumbai,Mumbai,Dr DY Patil Sports Academy
Punjab,Hyderabad,Punjab,Johannesburg,New Wanderers Stadium
Mumbai,Mumbai,Bangalore,Mumbai,Wankhede Stadium
Punjab,Bangalore,Punjab,Bangalore,M Chinnaswamy Stadium
Punjab,Mumbai,Punjab,UAE,Dubai International Cricket Stadium
Bangalore,Delhi,Bangalore,Delhi,Feroz Shah Kotla
Delhi,Delhi,Punjab,Delhi,Feroz Shah Kotla
Delhi,Delhi,Kolkata,Mumbai,"Brabourne Stadium, Mumbai"
Lucknow,Hyderabad,Lucknow,Hyderabad,Rajiv Gandhi International Stadium
Punjab,Hyderabad,Punjab,Hyderabad,Rajiv Gandhi International Stadium
Hyderabad,Hyderabad,Bangalore,Hyderabad,Rajiv Gandhi International Stadium
Punjab,Chennai,Punjab,Abu Dhabi,Sheikh Zayed Stadium
Rajasthan,Punjab,Rajasthan,Dharamsala,Himachal Pradesh Cricket Association Stadium
Mumbai,Rajasthan,Mumbai,Mumbai,Wankhede Stadium
Punjab,Punjab,Rajasthan,Chandigarh,"Punjab Cricket Association Stadium, Mohali"
Delhi,Delhi,Mumbai,Mumbai,Wankhede Stadium
Gujarat,Rajasthan,Gujarat,Kolkata,Eden Gardens
Rajasthan,Rajasthan,Delhi,Mumbai,Wankhede Stadium
Punjab,Mumbai,Punjab,Chandigarh,Punjab Cricket Association Stadium
Mumbai,Mumbai,Delhi,Mumbai,Wankhede Stadium
Punjab,Punjab,Mumbai,Chandigarh,"Punjab Cricket Association Stadium, Mohali"
Kolkata,Mumbai,Kolkata,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi"
Chennai,Chennai,Rajasthan,Centurion,SuperSport Park
Chennai,Chennai,Kolkata,Chennai,MA Chidambaram Stadium
